16a Sea Zone  (1330,610)  (1366,604)  | overflowToLeft=false
Ukraine  (1387,475)  (1351,505)  (1402,511)  (1423,472)  | overflowToLeft=false
Urals  (1869,294)  (1833,329)  (1833,293)  (1904,330)  (1869,258)  (1905,258)  (1905,294)  (1833,241)  (1868,365)  (1832,365)  (1869,222)  (1905,222)  (1832,205)  (1868,186)  (1904,186)  (1828,169)  | overflowToLeft=false
French West Africa  (859,1034)  (823,1069)  (823,1033)  (894,1070)  (895,1030)  (821,997)  (858,1105)  (822,1105)  (787,1069)  (787,1033)  (930,1066)  (930,1102)  (894,1106)  (785,997)  (785,961)  (751,1063)  (749,1027)  (749,991)  (749,955)  (713,1027)  | overflowToLeft=false
India  (1779,870)  (1826,908)  (1869,906)  (1919,905)  (1840,952)  (1885,953)  (1872,1004)  (1814,734)  (1863,732)  (1893,861)  | overflowToLeft=false
Turkey  (1408,676)  (1372,711)  (1372,675)  (1444,659)  (1336,726)  (1480,659)  (1516,650)  | overflowToLeft=false
16b Sea Zone  (1437,591)  (1473,604)  | overflowToLeft=false
Caroline Islands  (2927,1101)  | overflowToLeft=false
13b Sea Zone  (935,638)  (899,663)  (971,633)  | overflowToLeft=false
Karelia S.S.R.  (1346,97)  (1366,33)  | overflowToLeft=false
58b Sea Zone  (2861,501)  (2825,536)  (2825,500)  (2896,537)  (2861,465)  (2897,465)  (2897,501)  (2823,464)  (2860,572)  (2824,572)  (2932,537)  (2932,573)  (2896,573)  (2859,429)  (2895,429)  (2931,429)  (2933,465)  (2933,501)  (2811,428)  | overflowToLeft=false
Argentina Chile  (352,1410)  (316,1445)  (316,1409)  (387,1446)  (352,1374)  (388,1374)  (388,1410)  (314,1373)  (348,1481)  (312,1481)  (350,1338)  (386,1338)  (422,1338)  (424,1412)  (307,1337)  (348,1517)  (339,1553)  | overflowToLeft=false
Trans-Jordan  (1416,826)  | overflowToLeft=false
Germany  (1106,406)  (1070,441)  (1070,405)  (1141,442)  (1106,370)  (1142,370)  (1142,406)  (1068,369)  (1105,477)  (1069,477)  (1034,441)  (1034,405)  (1032,369)  | overflowToLeft=false
Union of South Africa  (1202,1543)  (1166,1578)  (1166,1542)  (1237,1579)  (1202,1507)  (1238,1520)  (1164,1506)  (1201,1614)  (1165,1614)  (1130,1558)  (1273,1556)  (1273,1592)  (1237,1615)  (1200,1471)  (1128,1522)  (1128,1486)  (1164,1470)  (1274,1628)  (1201,1650)  (1238,1651)  | overflowToLeft=false
Kwangtung  (2340,844)  (2376,816)  | overflowToLeft=false
Kazakh S.S.R.  (1690,492)  (1703,535)  (1735,493)  (1768,527)  (1786,480)  (1836,474)  (1884,467)  (1659,453)  (1827,427)  | overflowToLeft=false
48a Sea Zone  (2923,1212)  (2887,1228)  (2958,1248)  (2959,1200)  (2851,1217)  (2994,1236)  (2994,1272)  (2995,1200)  (3018,1308)  (2982,1308)  (3030,1236)  (3030,1272)  (3031,1200)  (3054,1308)  (3066,1236)  (3066,1272)  (3067,1200)  (3090,1308)  | overflowToLeft=false
Thailand  (2195,948)  (2219,984)  (2210,908)  (2192,1026)  | overflowToLeft=false
Formosa  (2416,896)  | overflowToLeft=false
Xinjiang  (1943,541)  (1949,505)  (1979,541)  (1999,577)  | overflowToLeft=false
40 Sea Zone  (2641,1757)  (2605,1792)  (2605,1756)  (2676,1793)  (2658,1721)  (2677,1757)  (2694,1705)  (2569,1793)  (2712,1793)  (2713,1741)  (2536,1757)  (2533,1793)  (2516,1721)  (2505,1685)  (2500,1757)  (2497,1793)  (2480,1721)  (2469,1685)  (2464,1757)  (2461,1793)  (2444,1721)  (2433,1685)  (2428,1757)  (2425,1793)  (2408,1721)  (2397,1685)  (2392,1757)  (2389,1793)  (2372,1721)  (2361,1685)  (2356,1757)  (2353,1793)  (2336,1721)  (2325,1685)  (2320,1757)  (2317,1793)  | overflowToLeft=false
55a Sea Zone  (3385,750)  (3349,785)  (3349,749)  (3420,786)  (3385,714)  (3421,714)  (3421,750)  (3347,713)  (3384,821)  (3348,821)  (3456,786)  (3456,822)  (3420,822)  (3457,682)  (3457,718)  (3492,754)  (3492,790)  (3493,682)  (3493,718)  (3528,754)  (3528,790)  (3529,682)  (3529,718)  (3540,826)  (3564,754)  (3564,790)  (3565,682)  (3565,718)  (3576,826)  (3576,862)  | overflowToLeft=false
Central United States  (3718,436)  (3736,472)  (3705,400)  (3700,478)  (3736,508)  (3687,364)  (3723,364)  (3700,514)  (3736,544)  (3687,328)  (3723,328)  (3700,550)  | overflowToLeft=false
Philippine Islands  (2594,1123)  | overflowToLeft=false
24 Sea Zone  (782,1515)  (746,1550)  (746,1514)  (817,1551)  (782,1479)  (818,1479)  (818,1515)  (744,1478)  (781,1586)  (745,1586)  (710,1550)  (710,1514)  (853,1551)  (853,1587)  (817,1587)  (709,1587)  (780,1443)  (816,1443)  (852,1443)  (854,1479)  (854,1515)  (708,1478)  (708,1442)  (744,1442)  (888,1433)  (674,1551)  (674,1515)  (889,1551)  (889,1587)  (673,1596)  (890,1469)  (890,1505)  (672,1479)  (672,1443)  (638,1560)  (638,1524)  (637,1596)  (636,1488)  (636,1452)  (602,1560)  (602,1524)  (601,1596)  (600,1488)  (600,1452)  | overflowToLeft=false
Naples  (1116,695)  | overflowToLeft=false
Baltic States  (1321,269)  (1285,304)  (1357,264)  | overflowToLeft=false
Nigeria  (1013,1106)  (1032,1070)  | overflowToLeft=false
45 Sea Zone  (3360,1152)  (3360,1188)  (3360,1224)  (3360,1260)  (3360,1296)  (3360,1332)  (3360,1368)  (3360,1404)  (3396,1152)  (3396,1188)  (3396,1224)  (3396,1260)  (3396,1296)  (3396,1332)  (3396,1368)  (3396,1404)  (3432,1152)  (3432,1188)  (3432,1224)  (3432,1260)  (3432,1296)  (3432,1332)  (3432,1368)  (3432,1417)  (3461,1468)  (3461,1504)  (3468,1152)  (3468,1188)  (3468,1224)  (3468,1260)  (3468,1296)  (3468,1332)  (3468,1368)  (3468,1432)  (3497,1468)  (3497,1504)  (3504,1152)  (3504,1188)  (3504,1224)  (3504,1260)  (3504,1296)  (3504,1332)  (3504,1368)  (3504,1404)  | overflowToLeft=false
5b Sea Zone  (1236,236)  (1226,272)  | overflowToLeft=false
Sardinia  (1004,698)  | overflowToLeft=false
Szechuan  (2130,736)  | overflowToLeft=false
62a Sea Zone  (2571,614)  (2535,649)  (2535,613)  (2606,650)  (2571,578)  (2607,578)  (2607,614)  (2533,577)  (2570,685)  (2534,685)  (2643,610)  (2498,714)  (2462,716)  (2445,680)  (2516,750)  (2480,752)  | overflowToLeft=false
United Kingdom  (846,202)  (776,165)  (835,146)  (797,252)  (847,251)  (898,250)  (751,307)  (805,307)  (859,303)  (912,301)  | overflowToLeft=false
French Equatorial Africa  (1106,1141)  (1070,1176)  (1070,1140)  (1141,1177)  (1106,1105)  (1142,1131)  (1105,1212)  (1069,1212)  (1107,1069)  (1178,1122)  (1110,1248)  (1074,1248)  (1214,1110)  | overflowToLeft=false
Switzerland  (1010,511)  | overflowToLeft=false
Northern Australia  (2860,1495)  (2862,1450)  (2862,1620)  (2929,1620)  (2937,1574)  | overflowToLeft=false
2b Sea Zone  (601,1)  (601,37)  (601,73)  (601,109)  (601,145)  (637,1)  (637,37)  (637,73)  (637,109)  (637,145)  (673,64)  (673,100)  (673,136)  (709,66)  (709,102)  (709,138)  (745,51)  (745,87)  (745,123)  (758,1)  (781,37)  (781,73)  (781,109)  (794,1)  (817,37)  (830,1)  | overflowToLeft=false
Spain  (786,616)  (750,651)  (750,615)  (821,652)  (786,580)  (822,583)  (749,579)  (820,688)  (858,603)  | overflowToLeft=false
Vologda  (1482,163)  (1446,155)  (1517,199)  (1481,199)  (1493,127)  (1518,163)  (1529,116)  (1565,110)  (1601,100)  | overflowToLeft=false
Normandy  (819,405)  (863,405)  (901,413)  (855,445)  (865,511)  (862,553)  | overflowToLeft=false
37 Sea Zone  (2129,1086)  (2093,1121)  (2093,1085)  (2152,1122)  (2129,1050)  (2091,1049)  (2116,1157)  (2080,1157)  (2167,1158)  (2127,1014)  (2074,1013)  (2131,1193)  (2095,1193)  (2180,1194)  (2074,977)  (2249,1150)  (2256,1186)  (2074,941)  | overflowToLeft=false
Caspian Sub Sea Zone  (1652,591)  | overflowToLeft=false
32 Sea Zone  (1690,1421)  (1654,1456)  (1654,1420)  (1725,1457)  (1690,1385)  (1726,1385)  (1726,1421)  (1652,1384)  (1689,1492)  (1653,1492)  (1618,1456)  (1618,1420)  (1761,1457)  (1761,1493)  (1725,1493)  (1617,1493)  (1688,1349)  (1724,1349)  (1760,1349)  (1762,1385)  (1762,1421)  (1616,1384)  (1616,1348)  (1652,1348)  (1796,1328)  (1689,1528)  (1653,1528)  (1582,1449)  (1797,1457)  (1797,1493)  (1797,1529)  (1761,1529)  (1725,1529)  (1617,1529)  (1688,1313)  (1798,1364)  (1798,1400)  (1580,1413)  (1580,1377)  (1580,1341)  (1616,1312)  (1652,1312)  (1573,1305)  (1689,1564)  (1653,1564)  (1546,1468)  (1830,1565)  (1794,1565)  (1758,1565)  (1617,1565)  (1688,1277)  | overflowToLeft=false
Sahara  (1023,968)  (987,1003)  (987,967)  (1058,1004)  (1033,932)  (1059,968)  (951,994)  (951,958)  (1095,960)  (1095,996)  (915,985)  (915,949)  (1131,958)  (1131,994)  (1151,1030)  (886,913)  (879,961)  (1167,979)  (1177,1066)  (1187,1015)  (850,925)  (850,889)  (1223,983)  (814,919)  (814,883)  (1259,965)  (778,909)  (778,873)  (754,837)  (742,908)  (718,872)  (706,908)  | overflowToLeft=false
50a Sea Zone  (2493,1014)  (2493,1050)  (2493,1086)  (2500,1122)  (2529,1014)  (2529,1050)  (2529,1086)  (2542,1164)  (2602,1014)  (2607,1050)  (2638,1014)  (2642,1086)  (2643,1050)  (2649,1122)  | overflowToLeft=false
Indochina  (2250,1029)  (2267,993)  (2293,884)  | overflowToLeft=false
Celebes  (2513,1231)  (2568,1252)  (2614,1223)  (2534,1311)  (2609,1297)  | overflowToLeft=false
57a Sea Zone  (3083,632)  (3083,668)  (3083,704)  (3083,740)  (3083,776)  (3083,812)  (3119,632)  (3119,668)  (3119,704)  (3119,740)  (3119,776)  (3119,812)  (3155,632)  (3155,668)  (3155,727)  (3155,763)  (3155,799)  (3191,632)  (3191,668)  (3191,744)  (3191,780)  (3191,816)  (3218,704)  (3227,632)  (3227,668)  (3227,767)  (3227,803)  (3254,704)  (3263,632)  (3263,668)  (3263,740)  (3263,776)  (3263,812)  (3290,704)  | overflowToLeft=false
48b Sea Zone  (2643,1337)  (2679,1307)  (2679,1343)  (2687,1266)  (2715,1302)  (2715,1338)  (2751,1326)  (2787,1335)  | overflowToLeft=false
6 Sea Zone  (993,211)  (957,246)  (957,210)  (1028,247)  (993,175)  (955,174)  (1029,152)  (992,282)  (921,247)  (921,211)  (1035,283)  (919,175)  | overflowToLeft=false
Mozambique  (1380,1448)  (1379,1412)  (1333,1539)  | overflowToLeft=false
Novosibirsk  (1961,415)  (1925,416)  (1941,379)  (1977,379)  (1997,415)  (1951,452)  (1963,343)  (2033,420)  | overflowToLeft=false
Guam  (2733,1026)  | overflowToLeft=false
Tahiti  (3462,1402)  | overflowToLeft=false
10 Sea Zone  (315,475)  (342,511)  (306,511)  (301,439)  (337,439)  (270,519)  (342,547)  (306,547)  (270,555)  (234,555)  (342,583)  (306,583)  (270,591)  (171,618)  (342,619)  (306,619)  (270,627)  (135,653)  (135,617)  (130,581)  (99,685)  (99,649)  (94,613)  (65,721)  (63,685)  (63,649)  (58,613)  (27,714)  (27,678)  (22,642)  | overflowToLeft=false
Tobruk  (1191,890)  (1236,886)  (1192,932)  (1231,924)  (1182,820)  (1227,821)  | overflowToLeft=false
64a Sea Zone  (3078,276)  (3042,311)  (3042,275)  (3113,312)  (3114,244)  (3006,325)  (3006,289)  (3006,253)  (3149,280)  (3149,316)  (3150,244)  (3185,280)  (3185,316)  (3186,244)  (3221,280)  (3221,316)  (3222,244)  | overflowToLeft=false
Japan  (2676,659)  | overflowToLeft=false
Northern South America  (307,945)  (271,980)  (271,944)  (341,981)  (343,930)  (269,1016)  (379,956)  (233,1018)  | overflowToLeft=false
Leningrad  (1384,207)  (1419,243)  (1374,171)  | overflowToLeft=false
Ceylon  (1932,1086)  | overflowToLeft=false
Yunnan  (2161,811)  (2125,802)  (2194,847)  | overflowToLeft=false
Ningxia  (2095,574)  (2131,578)  (2167,598)  | overflowToLeft=false
30 Sea Zone  (2068,1723)  (2032,1758)  (2032,1722)  (2103,1759)  (2068,1687)  (2104,1687)  (2104,1723)  (2030,1686)  (1996,1793)  (1996,1757)  (2139,1759)  (2140,1661)  (2140,1697)  (1994,1721)  (1994,1685)  (1960,1793)  (1960,1757)  (2175,1733)  (2175,1769)  (2176,1661)  (2176,1697)  (1958,1721)  (1958,1685)  (1924,1793)  (1924,1757)  (2211,1733)  (2211,1769)  (2212,1661)  (2212,1697)  (1922,1721)  (1922,1685)  (1888,1793)  (1888,1757)  (2247,1733)  (2247,1769)  (2248,1661)  (2248,1697)  (1886,1721)  (1886,1685)  (1852,1793)  (1852,1757)  (1850,1721)  (1850,1685)  (1816,1793)  (1816,1757)  (1814,1721)  (1814,1685)  (1780,1793)  (1780,1757)  (1778,1721)  (1778,1685)  | overflowToLeft=false
55b Sea Zone  (3644,821)  (3679,857)  (3643,857)  (3618,785)  (3654,785)  (3680,821)  (3690,782)  (3715,857)  (3715,893)  (3679,893)  (3643,893)  (3618,749)  (3716,818)  (3736,929)  (3700,929)  (3664,929)  (3628,929)  (3618,713)  (3736,965)  (3700,965)  (3664,965)  (3628,965)  (3736,1001)  (3700,1001)  (3664,1001)  (3628,1001)  (3736,1037)  (3700,1037)  (3664,1037)  (3628,1037)  (3736,1073)  (3700,1073)  (3664,1073)  (3628,1073)  (3736,1109)  (3700,1109)  (3664,1109)  (3628,1109)  | overflowToLeft=false
Caucasus  (1577,432)  (1616,409)  (1599,467)  (1484,509)  (1539,491)  (1484,568)  (1574,525)  | overflowToLeft=false
New Zealand  (3280,1713)  | overflowToLeft=false
11 Sea Zone  (466,565)  (430,600)  (430,564)  (501,601)  (466,529)  (502,529)  (502,565)  (428,528)  (465,636)  (429,636)  (394,600)  (394,564)  (537,601)  (537,637)  (501,637)  (393,637)  (538,506)  (538,542)  (392,528)  (465,672)  (429,672)  (539,673)  (503,673)  (467,708)  (539,709)  (503,709)  | overflowToLeft=false
Rhodesia  (1235,1379)  (1202,1412)  (1295,1385)  (1266,1473)  (1293,1513)  (1305,1474)  | overflowToLeft=false
17 Sea Zone  (652,980)  (675,1016)  (639,1016)  (620,944)  (656,944)  (677,1052)  (620,908)  (656,908)  (701,1088)  (620,872)  (656,872)  (731,1124)  (620,836)  (656,836)  (768,1146)  (732,1160)  (837,1166)  (873,1167)  (909,1165)  | overflowToLeft=false
35a Sea Zone  (1782,1185)  (1746,1220)  (1746,1184)  (1817,1221)  (1782,1149)  (1818,1149)  (1818,1185)  (1744,1148)  (1781,1256)  (1745,1256)  (1853,1221)  (1853,1257)  (1817,1257)  (1780,1113)  (1816,1113)  (1852,1113)  (1854,1149)  (1854,1185)  (1741,1112)  (1888,1097)  (1781,1292)  (1745,1292)  (1889,1221)  (1889,1257)  (1777,1077)  (1813,1077)  (1890,1133)  (1890,1169)  (1741,1076)  (1777,1041)  (1813,1041)  (1741,1040)  (1934,1032)  (1777,1005)  (1741,1004)  (1935,996)  (1777,969)  (1741,968)  (1952,960)  (1741,932)  | overflowToLeft=false
Corsica  (1009,635)  | overflowToLeft=false
Ethiopia  (1428,1082)  (1327,1183)  (1371,1206)  (1413,1226)  (1457,1196)  (1497,1136)  | overflowToLeft=false
Egypt  (1291,907)  (1332,908)  (1372,909)  (1307,947)  (1350,948)  (1390,948)  | overflowToLeft=false
52 Sea Zone  (2974,891)  (2938,926)  (2938,890)  (3009,927)  (3010,859)  (2973,962)  (2937,962)  (2902,926)  (2902,890)  (3045,895)  (3045,931)  (3009,963)  (2901,963)  (3046,859)  (3049,967)  (2866,927)  (2866,891)  (3081,895)  (3081,931)  (2865,977)  (3082,859)  (3085,967)  | overflowToLeft=false
63a Sea Zone  (2628,292)  (2592,321)  (2632,328)  (2664,271)  (2683,307)  (2686,343)  (2632,364)  (2714,379)  (2719,276)  (2722,312)  (2631,400)  (2630,436)  (2594,466)  (2630,472)  (2594,502)  | overflowToLeft=false
62b Sea Zone  (2727,726)  (2691,761)  (2691,725)  (2762,762)  (2727,690)  (2763,690)  (2763,726)  (2726,797)  (2690,797)  (2655,761)  (2774,798)  (2654,798)  (2716,654)  (2752,654)  (2619,762)  (2618,823)  (2716,618)  (2752,618)  (2717,582)  (2753,582)  (2715,546)  (2751,546)  (2738,510)  (2774,510)  (2738,474)  (2774,474)  (2686,456)  (2722,438)  (2758,438)  | overflowToLeft=false
Malta  (1151,780)  | overflowToLeft=false
Wake Island  (2990,736)  | overflowToLeft=false
Saudi Arabia  (1538,934)  (1502,969)  (1502,933)  (1573,970)  (1538,898)  (1574,898)  (1574,934)  (1500,897)  (1537,1005)  (1501,1005)  (1466,953)  (1609,970)  (1603,1006)  (1536,862)  (1610,927)  (1464,917)  (1464,881)  (1500,861)  (1562,1041)  (1526,1041)  (1645,963)  (1646,922)  (1428,887)  (1682,922)  | overflowToLeft=false
Peruvian Central  (317,1183)  (281,1199)  (281,1163)  (352,1219)  (353,1173)  (245,1172)  (388,1233)  (352,1255)  (237,1136)  (228,1100)  | overflowToLeft=false
NW Europe  (936,383)  (977,386)  (1071,276)  (1048,323)  (954,424)  | overflowToLeft=false
27 Sea Zone  (1044,1636)  (1008,1671)  (1008,1635)  (1079,1672)  (1044,1600)  (1080,1600)  (1080,1636)  (1006,1599)  (1043,1707)  (1007,1707)  (972,1671)  (972,1635)  (1115,1672)  (1115,1708)  (1079,1708)  (971,1708)  (1042,1564)  (1078,1564)  (1116,1631)  (970,1599)  (970,1563)  (1006,1563)  (1043,1743)  (1007,1743)  (936,1672)  (936,1636)  (1151,1699)  (1151,1735)  (1115,1744)  (1079,1744)  (971,1744)  (935,1744)  (935,1708)  (1042,1528)  (935,1527)  (971,1527)  (1159,1771)  (1043,1779)  (1007,1779)  (1123,1780)  (1087,1780)  (971,1780)  (935,1780)  (1007,1492)  (1043,1492)  (935,1491)  (971,1491)  (1007,1456)  (1043,1456)  (935,1455)  (971,1455)  | overflowToLeft=false
33 Sea Zone  (1475,1406)  (1439,1441)  (1439,1405)  (1504,1442)  (1475,1370)  (1437,1369)  (1468,1477)  (1432,1477)  (1504,1478)  (1473,1334)  (1422,1333)  (1396,1495)  (1468,1513)  (1432,1513)  (1458,1298)  (1494,1298)  (1396,1531)  (1446,1549)  (1410,1567)  (1374,1567)  | overflowToLeft=false
Eire  (731,206)  | overflowToLeft=false
Hawaiian Islands  (3209,735)  | overflowToLeft=false
42 Sea Zone  (3344,1601)  (3308,1636)  (3308,1600)  (3379,1637)  (3344,1565)  (3380,1565)  (3380,1601)  (3306,1564)  (3343,1672)  (3307,1672)  (3272,1636)  (3272,1600)  (3415,1637)  (3415,1673)  (3379,1673)  (3271,1673)  (3342,1529)  (3378,1529)  (3414,1529)  (3416,1565)  (3416,1601)  (3270,1564)  (3270,1528)  (3306,1528)  (3343,1708)  (3307,1708)  (3236,1637)  (3236,1601)  (3425,1709)  (3389,1709)  (3271,1709)  (3235,1709)  (3235,1673)  (3342,1493)  (3378,1493)  (3414,1493)  (3234,1565)  (3234,1529)  (3234,1493)  (3270,1492)  (3306,1492)  (3353,1744)  (3317,1744)  (3200,1637)  (3200,1601)  (3425,1745)  (3389,1745)  (3281,1745)  (3245,1745)  (3209,1745)  (3199,1709)  (3199,1673)  | overflowToLeft=false
France  (915,482)  (923,518)  (955,476)  | overflowToLeft=false
Papua  (2707,1205)  (2762,1217)  (2730,1278)  (2785,1272)  | overflowToLeft=false
Eastern Canada  (261,253)  (225,288)  (291,289)  (242,217)  (278,217)  (297,253)  (314,200)  (255,324)  (189,307)  (189,271)  (253,181)  (333,236)  (289,164)  (334,164)  (350,200)  (162,235)  (153,275)  (243,145)  (369,236)  (126,239)  (125,203)  (90,274)  (89,238)  (89,202)  (63,56)  (260,53)  (58,166)  (54,277)  (53,241)  (53,205)  (49,95)  (27,59)  (22,169)  (22,133)  (18,277)  (17,241)  (17,205)  (13,97)  | overflowToLeft=false
36 Sea Zone  (2201,1062)  (2216,1098)  (2252,1084)  (2288,1085)  (2324,1060)  (2324,1096)  (2325,1013)  (2360,1049)  (2360,1085)  (2361,1013)  (2396,1049)  (2396,1085)  (2397,1013)  (2432,1049)  (2432,1085)  (2433,1013)  | overflowToLeft=false
Fukien  (2385,767)  (2349,775)  (2421,761)  | overflowToLeft=false
Burma  (2078,879)  (2140,877)  (2115,923)  (2122,967)  (2148,1011)  (2077,834)  | overflowToLeft=false
Vichy  (924,565)  | overflowToLeft=false
56a Sea Zone  (3389,552)  (3353,587)  (3353,551)  (3424,588)  (3389,516)  (3425,516)  (3425,552)  (3351,515)  (3388,623)  (3352,623)  (3460,588)  (3460,624)  (3424,624)  (3461,506)  (3461,542)  (3496,578)  (3496,614)  (3497,528)  (3532,631)  | overflowToLeft=false
49a Sea Zone  (2465,1161)  (2456,1211)  (2433,1264)  (2373,1287)  (2425,1317)  | overflowToLeft=false
Sudan  (1282,1031)  (1399,1012)  (1253,1081)  (1296,1080)  (1335,1080)  (1377,1069)  (1308,1120)  | overflowToLeft=false
34b Sea Zone  (1624,1111)  (1588,1146)  (1588,1110)  (1659,1147)  (1624,1075)  (1660,1075)  (1660,1111)  (1623,1182)  (1587,1182)  (1695,1147)  (1695,1183)  (1659,1183)  (1640,1039)  (1676,1039)  (1696,1075)  (1696,1111)  (1695,1003)  (1702,882)  (1626,881)  (1595,844)  | overflowToLeft=false
5a Sea Zone  (1160,306)  (1196,317)  (1088,235)  (1219,179)  | overflowToLeft=false
Norway  (1121,133)  (1085,179)  | overflowToLeft=false
Amur  (2267,464)  (2315,439)  (2401,376)  (2360,306)  (2400,306)  (2439,306)  | overflowToLeft=false
20 Sea Zone  (59,926)  (23,961)  (23,925)  (94,962)  (59,890)  (95,890)  (95,926)  (21,889)  (58,997)  (22,997)  (130,962)  (130,998)  (94,998)  (57,854)  (0,853)  (58,1033)  (22,1033)  (166,953)  (166,989)  (162,1034)  (126,1034)  (90,1069)  (54,1069)  (18,1069)  (202,964)  (64,1105)  (28,1105)  | overflowToLeft=false
Mexico  (3697,642)  (3661,645)  (3661,609)  (3732,678)  (3696,681)  (3627,573)  (3736,714)  (3700,717)  (3736,750)  | overflowToLeft=false
Greenland  (467,16)  (431,48)  (431,12)  (481,52)  (503,0)  (487,88)  | overflowToLeft=false
Crete  (1273,784)  | overflowToLeft=false
38a Sea Zone  (2162,1446)  (2208,1447)  (2253,1445)  (2299,1445)  (2162,1400)  (2207,1401)  (2251,1401)  (2161,1352)  (2203,1352)  (2161,1304)  (2160,1254)  (2319,1286)  (2343,1334)  | overflowToLeft=false
